Económica;Explicación;14.01 ;Total (miles Euros);Total (euros)
1;GASTOS DE PERSONAL;152.371,96;152.371,96;152.371.960 €
12;Funcionarios;88.918,84;88.918,84;88.918.840 €
13;Laborales;17.920,26;17.920,26;17.920.260 €
16;Cuotas, prestaciones y gastos sociales a cargo del empleador;45.532,86;45.532,86;45.532.860 €
2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;24.609,48;24.609,48;24.609.480 €
20;Arrendamientos y cánones;8,18;8,18;8.180 €
21;Reparaciones, mantenimiento y conservación;3.170,00;3.170,00;3.170.000 €
22;Material, suministros y otros;21.431,30;21.431,30;21.431.300 €
6;INVERSIONES REALES;1.255,31;1.255,31;1.255.310 €
66;Inversiones militares asociadas al funcionamiento operativo de los servicios;1.255,31;1.255,31;1.255.310 €
;TOTAL GENERAL;178.236,75;178.236,75;178.236.750 €
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
