Orgánica;Económica;Explicación;Total;Euros
13.103;;CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;;
;1;GASTOS DE PERSONAL;;
;15;Incentivos al rendimiento;181,39;181.390,00
;150;Productividad;163,07;163.070,00
;151;Gratificaciones;18,32;18.320,00
;16000;Seguridad Social;344,29;344.290,00
;16200;Formación y perfeccionamiento del personal;3,67;3.670,00
;16204;Acción social;65,81;65.810,00
;;TOTAL GASTOS DE PERSONAL;2.618,31;2.618.310,00
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;
;22502;Locales;12;12.000,00
;22601;Atenciones protocolarias y representativas;2,34;2.340,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;1.424,20;1.424.200,00
;4;TRANSFERENCIAS CORRIENTES;;
;48;A familias e instituciones sin fines de lucro;166,1;166.100,00
;481;A familias e Instituciones sin fines de lucro.;138;138.000,00
;482;Premios concedidos por el CEPC;23;23.000,00
;483;A entidades culturales;5,1;5.100,00
;48301;A la Unión de Editoriales Universitarias Españolas (UNE);3,1;3.100,00
;48302;A la Red de Bibliotecas Universitarias Españolas (REBIUN);1,3;1.300,00
;48303;A la Asociación Española de Ciencia Política y de la Administración (AECPA);0,4;400
;48304;A la Sociedad Española de Documentación e Información Científica (SEDIC);0,3;300
;;TOTAL TRANSFERENCIAS CORRIENTES;166,1;166.100,00
;6;INVERSIONES REALES;300;300.000,00
;8;ACTIVOS FINANCIEROS;;
;83;Concesión de préstamos fuera del Sector Público;10,03;10.030,00
;830;Préstamos a corto plazo;5,03;5.030,00
;831;Préstamos a largo plazo;5;5.000,00
;;TOTAL ACTIVOS FINANCIEROS;10,03;10.030,00
;;TOTAL CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES;4.518,64;4.518.640,00
13.104;;CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;;
;1;GASTOS DE PERSONAL;;
;15;Incentivos al rendimiento;378,53;378.530,00
;150;Productividad;376,2;376.200,00
;151;Gratificaciones;2,33;2.330,00
;16000;Seguridad Social;651,29;651.290,00
;16200;Formación y perfeccionamiento del personal;12,33;12.330,00
;16204;Acción social;65,81;65.810,00
;;TOTAL GASTOS DE PERSONAL;4.771,20;4.771.200,00
;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;
;22502;Locales;6,2;6.200,00
;22601;Atenciones protocolarias y representativas;3;3.000,00
;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;6.582,89;6.582.890,00
;4;TRANSFERENCIAS CORRIENTES;;
;48;A familias e instituciones sin fines de lucro;258;258.000,00
;481;Becas a postgraduados;258;258.000,00
;;TOTAL TRANSFERENCIAS CORRIENTES;258;258.000,00
;6;INVERSIONES REALES;1.035,00;1.035.000,00
;8;ACTIVOS FINANCIEROS;;
;83;Concesión de préstamos fuera del Sector Público;12,02;12.020,00
;830;Préstamos a corto plazo;6,01;6.010,00
;831;Préstamos a largo plazo;6,01;6.010,00
;;TOTAL ACTIVOS FINANCIEROS;12,02;12.020,00
;;TOTAL CENTRO DE INVESTIGACIONES SOCIOLÓGICAS;12.659,11;12.659.110,00
;;TOTAL Investigación y estudios sociológicos y constitucionales;17.177,75;17.177.750,00
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
